Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
11224322,Md. Emon Sheikh,Ekram,Mst. Moriom Begum,"January 3, 2000",Electrical and Electronics,Bachelor of Science(Engineering),1065375,200201,2019-20 to 2022-23,"October, 2024",145,145,3.21,3.83,54,B,English
11224323,Michelle Farrell,Kristi,Christopher Wood,"May 24, 2005",Electrical and Electronics,Bachelor of Science(Engineering),1065376,200202,2019-20 to 2022-23,"October, 2024",145,145,3.39,3.83,54,A,English
11224324,Ana Evans,Christopher,Joel Davis,"September 25, 2001",Electrical and Electronics,Bachelor of Science(Engineering),1065377,200203,2019-20 to 2022-23,"October, 2024",145,145,2.4,3.83,54,A,English
11224325,Edward Acevedo,Colleen,Allison Brown,"February 20, 2005",Electrical and Electronics,Bachelor of Science(Engineering),1065378,200204,2019-20 to 2022-23,"October, 2024",145,145,2.08,3.83,54,D,English
11224326,Lori Jacobs,Catherine,Theresa Christensen,"January 03, 2002",Electrical and Electronics,Bachelor of Science(Engineering),1065379,200205,2019-20 to 2022-23,"October, 2024",145,145,3.54,3.83,54,D,English
11224327,Sarah Daugherty,Richard,Ralph Clements,"July 20, 2001",Electrical and Electronics,Bachelor of Science(Engineering),1065380,200206,2019-20 to 2022-23,"October, 2024",145,145,3.2,3.83,54,B,English
11224328,David Jenkins,Jacob,Christy Chan,"October 04, 2002",Electrical and Electronics,Bachelor of Science(Engineering),1065381,200207,2019-20 to 2022-23,"October, 2024",145,145,2.36,3.83,54,C,English
11224329,Tracy Day,Matthew,John Simmons,"December 31, 1999",Electrical and Electronics,Bachelor of Science(Engineering),1065382,200208,2019-20 to 2022-23,"October, 2024",145,145,2.29,3.83,54,C,English
11224330,Christian Clark,John,John Alexander,"July 25, 2005",Electrical and Electronics,Bachelor of Science(Engineering),1065383,200209,2019-20 to 2022-23,"October, 2024",145,145,2.8,3.83,54,C,English
11224331,Kristin Hart,Teresa,Eric Herman,"March 17, 2005",Electrical and Electronics,Bachelor of Science(Engineering),1065384,200210,2019-20 to 2022-23,"October, 2024",145,145,3.11,3.83,54,C,English
