Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
1167636,Md. Emon Sheikh,Ekram,Mst. Moriom Begum,"January 3, 2000",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),1195189,201901,2019-20 to 2022-23,"October, 2024",145,145,3.21,3.83,54,B,English
1167637,Michelle Farrell,Kristi,Christopher Wood,"May 24, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),8204321,201902,2019-20 to 2022-23,"October, 2024",145,145,3.39,3.83,54,A,English
1167638,Ana Evans,Christopher,Joel Davis,"September 25, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5350247,201903,2019-20 to 2022-23,"October, 2024",145,145,2.4,3.83,54,A,English
1167639,Edward Acevedo,Colleen,Allison Brown,"February 20, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),7055729,201904,2019-20 to 2022-23,"October, 2024",145,145,2.08,3.83,54,D,English
1167640,Lori Jacobs,Catherine,Theresa Christensen,"January 03, 2002",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5003519,201905,2019-20 to 2022-23,"October, 2024",145,145,3.54,3.83,54,D,English
1167641,Sarah Daugherty,Richard,Ralph Clements,"July 20, 2001",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5900188,201906,2019-20 to 2022-23,"October, 2024",145,145,3.2,3.83,54,B,English
1167642,David Jenkins,Jacob,Christy Chan,"October 04, 2002",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9573829,201907,2019-20 to 2022-23,"October, 2024",145,145,2.36,3.83,54,C,English
1167643,Tracy Day,Matthew,John Simmons,"December 31, 1999",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),8739908,201908,2019-20 to 2022-23,"October, 2024",145,145,2.29,3.83,54,C,English
1167644,Christian Clark,John,John Alexander,"July 25, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3703916,201909,2019-20 to 2022-23,"October, 2024",145,145,2.8,3.83,54,C,English
1167645,Kristin Hart,Teresa,Eric Herman,"March 17, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3421985,201910,2019-20 to 2022-23,"October, 2024",145,145,3.11,3.83,54,C,English
1167646,William Gomez,Nathan,Megan Johnson,"August 02, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),8668963,201911,2019-20 to 2022-23,"October, 2024",145,145,2.14,3.83,54,A,English
1167647,Amy Reynolds,Karen,Jack Reyes,"January 20, 2003",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9699356,201912,2019-20 to 2022-23,"October, 2024",145,145,3,3.83,54,B,English
1167648,Ann Roberts,Thomas,Carla Kelly,"September 14, 2002",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),5052181,201913,2019-20 to 2022-23,"October, 2024",145,145,2.32,3.83,54,D,English
1167649,Andrew Bonilla,Jessica,Daniel Hernandez,"October 07, 2005",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),3463821,201914,2019-20 to 2022-23,"October, 2024",145,145,3.48,3.83,54,C,English
1167650,Kenneth Caldwell,Rebecca,Kathy Martinez,"April 12, 2006",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),2900085,201915,2019-20 to 2022-23,"October, 2024",145,145,2.52,3.83,54,A,English
1167651,Stephanie Anderson,Megan,Michael Martin,"January 26, 2006",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),1489113,201916,2019-20 to 2022-23,"October, 2024",145,145,3.48,3.83,54,B,English
1167652,Traci Stewart,Cheyenne,Nicholas Wood,"October 11, 2003",Public Administration,Bachelor of Social Science in Public Administration (B.S.S.),9691419,201917,2019-20 to 2022-23,"October, 2024",145,145,2.07,3.83,54,B,English
