Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
11224322,Md. Emon Sheikh,Ekram,Mst. Moriom Begum,"January 3, 2000",Information and Communication Engineering,Bachelor of Science(Engineering),1065375,210601,2020-21 to 2023-24,"October, 2024",145,145,3.21,3.83,54,B,English
11224323,Michelle Farrell,Kristi,Christopher Wood,"May 24, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065376,210602,2020-21 to 2023-24,"October, 2024",145,145,3.39,3.83,54,A,English
11224324,Ana Evans,Christopher,Joel Davis,"September 25, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065377,210603,2020-21 to 2023-24,"October, 2024",145,145,2.4,3.83,54,A,English
11224325,Edward Acevedo,Colleen,Allison Brown,"February 20, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065378,210604,2020-21 to 2023-24,"October, 2024",145,145,2.08,3.83,54,D,English
11224326,Lori Jacobs,Catherine,Theresa Christensen,"January 03, 2002",Information and Communication Engineering,Bachelor of Science(Engineering),1065379,210605,2020-21 to 2023-24,"October, 2024",145,145,3.54,3.83,54,D,English
11224327,Sarah Daugherty,Richard,Ralph Clements,"July 20, 2001",Information and Communication Engineering,Bachelor of Science(Engineering),1065380,210606,2020-21 to 2023-24,"October, 2024",145,145,3.2,3.83,54,B,English
11224328,David Jenkins,Jacob,Christy Chan,"October 04, 2002",Information and Communication Engineering,Bachelor of Science(Engineering),1065381,210607,2020-21 to 2023-24,"October, 2024",145,145,2.36,3.83,54,C,English
11224329,Tracy Day,Matthew,John Simmons,"December 31, 1999",Information and Communication Engineering,Bachelor of Science(Engineering),1065382,210608,2020-21 to 2023-24,"October, 2024",145,145,2.29,3.83,54,C,English
11224330,Christian Clark,John,John Alexander,"July 25, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065383,210609,2020-21 to 2023-24,"October, 2024",145,145,2.8,3.83,54,C,English
11224331,Kristin Hart,Teresa,Eric Herman,"March 17, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065384,210610,2020-21 to 2023-24,"October, 2024",145,145,3.11,3.83,54,C,English
11224332,William Gomez,Nathan,Megan Johnson,"August 02, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065385,210611,2020-21 to 2023-24,"October, 2024",145,145,2.14,3.83,54,A,English
11224333,Amy Reynolds,Karen,Jack Reyes,"January 20, 2003",Information and Communication Engineering,Bachelor of Science(Engineering),1065386,210612,2020-21 to 2023-24,"October, 2024",145,145,3,3.83,54,B,English
11224334,Ann Roberts,Thomas,Carla Kelly,"September 14, 2002",Information and Communication Engineering,Bachelor of Science(Engineering),1065387,210613,2020-21 to 2023-24,"October, 2024",145,145,2.32,3.83,54,D,English
11224335,Andrew Bonilla,Jessica,Daniel Hernandez,"October 07, 2005",Information and Communication Engineering,Bachelor of Science(Engineering),1065388,210614,2020-21 to 2023-24,"October, 2024",145,145,3.48,3.83,54,C,English
11224336,Kenneth Caldwell,Rebecca,Kathy Martinez,"April 12, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065389,210615,2020-21 to 2023-24,"October, 2024",145,145,2.52,3.83,54,A,English
11224337,Stephanie Anderson,Megan,Michael Martin,"January 26, 2006",Information and Communication Engineering,Bachelor of Science(Engineering),1065390,210616,2020-21 to 2023-24,"October, 2024",145,145,3.48,3.83,54,B,English
11224338,Traci Stewart,Cheyenne,Nicholas Wood,"October 11, 2003",Information and Communication Engineering,Bachelor of Science(Engineering),1065391,210617,2020-21 to 2023-24,"October, 2024",145,145,2.07,3.83,54,B,English
