Sl No,Name of the Student,Father's Name,Mother's Name,Date of Birth,Department,Degree Awarded,Registration Number,Roll Number,Sessions Attended,Date of Completion of the degree requirements,Total Number of Credits,Credits Completed,Cumulative Grade Point Average (CGPA) Earned,Highest CGPA in the graduating class,Number of students in the graduating class,Letter Grade Obtained,Medium of Instruction
11224322,Md. Emon Sheikh,Ekram,Mst. Moriom Begum,"January 3, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065375,190301,2018-19 to 2021-22,"October, 2024",145,145,3.21,3.83,54,B,English
11224323,Michelle Farrell,Kristi,Christopher Wood,"May 24, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065376,190302,2018-19 to 2021-22,"October, 2024",145,145,3.39,3.83,54,A,English
11224324,Ana Evans,Christopher,Joel Davis,"September 25, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065377,190303,2018-19 to 2021-22,"October, 2024",145,145,2.4,3.83,54,A,English
11224325,Edward Acevedo,Colleen,Allison Brown,"February 20, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065378,190304,2018-19 to 2021-22,"October, 2024",145,145,2.08,3.83,54,D,English
11224326,Lori Jacobs,Catherine,Theresa Christensen,"January 03, 2002",Computer Science and Technology,Bachelor of Science(Engineering),1065379,190305,2018-19 to 2021-22,"October, 2024",145,145,3.54,3.83,54,D,English
11224327,Sarah Daugherty,Richard,Ralph Clements,"July 20, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065380,190306,2018-19 to 2021-22,"October, 2024",145,145,3.2,3.83,54,B,English
11224328,David Jenkins,Jacob,Christy Chan,"October 04, 2002",Computer Science and Technology,Bachelor of Science(Engineering),1065381,190307,2018-19 to 2021-22,"October, 2024",145,145,2.36,3.83,54,C,English
11224329,Tracy Day,Matthew,John Simmons,"December 31, 1999",Computer Science and Technology,Bachelor of Science(Engineering),1065382,190308,2018-19 to 2021-22,"October, 2024",145,145,2.29,3.83,54,C,English
11224330,Christian Clark,John,John Alexander,"July 25, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065383,190309,2018-19 to 2021-22,"October, 2024",145,145,2.8,3.83,54,C,English
11224331,Kristin Hart,Teresa,Eric Herman,"March 17, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065384,190310,2018-19 to 2021-22,"October, 2024",145,145,3.11,3.83,54,C,English
11224332,William Gomez,Nathan,Megan Johnson,"August 02, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065385,190311,2018-19 to 2021-22,"October, 2024",145,145,2.14,3.83,54,A,English
11224333,Amy Reynolds,Karen,Jack Reyes,"January 20, 2003",Computer Science and Technology,Bachelor of Science(Engineering),1065386,190312,2018-19 to 2021-22,"October, 2024",145,145,3,3.83,54,B,English
11224334,Ann Roberts,Thomas,Carla Kelly,"September 14, 2002",Computer Science and Technology,Bachelor of Science(Engineering),1065387,190313,2018-19 to 2021-22,"October, 2024",145,145,2.32,3.83,54,D,English
11224335,Andrew Bonilla,Jessica,Daniel Hernandez,"October 07, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065388,190314,2018-19 to 2021-22,"October, 2024",145,145,3.48,3.83,54,C,English
11224336,Kenneth Caldwell,Rebecca,Kathy Martinez,"April 12, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065389,190315,2018-19 to 2021-22,"October, 2024",145,145,2.52,3.83,54,A,English
11224337,Stephanie Anderson,Megan,Michael Martin,"January 26, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065390,190316,2018-19 to 2021-22,"October, 2024",145,145,3.48,3.83,54,B,English
11224338,Traci Stewart,Cheyenne,Nicholas Wood,"October 11, 2003",Computer Science and Technology,Bachelor of Science(Engineering),1065391,190317,2018-19 to 2021-22,"October, 2024",145,145,2.07,3.83,54,B,English
11224339,Richard Patterson,Jason,Christopher Powers,"June 21, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065392,190318,2018-19 to 2021-22,"October, 2024",145,145,3.59,3.83,54,B,English
11224340,Brenda Bryant,Karen,Paul Thompson,"December 12, 2005",Computer Science and Technology,Bachelor of Science(Engineering),1065393,190319,2018-19 to 2021-22,"October, 2024",145,145,2.68,3.83,54,B,English
11224341,Courtney Calderon,Stephanie,Robert Delacruz,"April 08, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065394,190320,2018-19 to 2021-22,"October, 2024",145,145,2.35,3.83,54,B,English
11224342,Haley Ferguson DVM,Mary,Antonio Cohen,"February 06, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065395,190321,2018-19 to 2021-22,"October, 2024",145,145,2.68,3.83,54,C,English
11224343,Elizabeth Brooks,Jamie,William Morgan,"March 31, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065396,190322,2018-19 to 2021-22,"October, 2024",145,145,2.63,3.83,54,C,English
11224344,Olivia Bird,Emily,Valerie Holmes,"October 02, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065397,190323,2018-19 to 2021-22,"October, 2024",145,145,2.64,3.83,54,D,English
11224345,Isaac Kim,Miguel,Colleen Clarke,"June 12, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065398,190324,2018-19 to 2021-22,"October, 2024",145,145,2.18,3.83,54,A,English
11224346,Jessica Shepherd,Amy,Gregory Stephens MD,"November 04, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065399,190325,2018-19 to 2021-22,"October, 2024",145,145,3.05,3.83,54,B,English
11224347,Tiffany Carlson,Anthony,Sheila Richards,"October 22, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065400,190326,2018-19 to 2021-22,"October, 2024",145,145,3.69,3.83,54,A,English
11224348,Brian Peterson,Olivia,Jill Nguyen,"August 22, 2003",Computer Science and Technology,Bachelor of Science(Engineering),1065401,190327,2018-19 to 2021-22,"October, 2024",145,145,3.42,3.83,54,C,English
11224349,Elizabeth Richardson,David,Brian Acevedo,"February 18, 2001",Computer Science and Technology,Bachelor of Science(Engineering),1065402,190328,2018-19 to 2021-22,"October, 2024",145,145,2.43,3.83,54,C,English
11224350,Amanda Harris,Gina,Alexis Fernandez,"April 12, 2000",Computer Science and Technology,Bachelor of Science(Engineering),1065403,190329,2018-19 to 2021-22,"October, 2024",145,145,2.36,3.83,54,D,English
11224351,David Villa,Daniel,Joshua Lee,"July 12, 2006",Computer Science and Technology,Bachelor of Science(Engineering),1065404,190330,2018-19 to 2021-22,"October, 2024",145,145,3.55,3.83,54,C,English
11224352,Stephanie Taylor,Vincent,Mark Holden,"June 02, 1999",Computer Science and Technology,Bachelor of Science(Engineering),1065405,190331,2018-19 to 2021-22,"October, 2024",145,145,2.89,3.83,54,B,English
11224353,Dawn Sims,Audrey,Jeffrey Wood,"March 27, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065406,190332,2018-19 to 2021-22,"October, 2024",145,145,2.07,3.83,54,C,English
11224354,John Richardson,Todd,Sarah Hall,"April 02, 2007",Computer Science and Technology,Bachelor of Science(Engineering),1065407,190333,2018-19 to 2021-22,"October, 2024",145,145,3.04,3.83,54,B,English
11224355,Brooke Schneider,Jackie,Francisco Eaton,"February 25, 2004",Computer Science and Technology,Bachelor of Science(Engineering),1065408,190334,2018-19 to 2021-22,"October, 2024",145,145,3.84,3.83,54,C,English
11224356,Matthew Nguyen,Jasmine,Frederick Smith,"June 26, 1999",Computer Science and Technology,Bachelor of Science(Engineering),1065409,190335,2018-19 to 2021-22,"October, 2024",145,145,3.24,3.83,54,B,English
